cause,total_crashes,freq,phase
human error (48%),total crashes (427),0.42384106,en route (35%)
weather (18%),total crashes (427),0.132450331,en route (35%)
mechanical (17%),total crashes (427),0.2185430464,en route (35%)
unknown (11%),total crashes (427),0.105960265,en route (35%)
criminal (5%),total crashes (427),0.119205298,en route (35%)
human error (48%),total crashes (427),0.0000000000,standing (1%)
weather (18%),total crashes (427),0.0000000000,standing (1%)
mechanical (17%),total crashes (427),0.5000000000,standing (1%)
unknown (11%),total crashes (427),0.0000000000,standing (1%)
criminal (5%),total crashes (427),0.5000000000,standing (1%)
human error (48%),total crashes (427),0.476190476,take off (15%)
weather (18%),total crashes (427),0.047619048,take off (15%)
mechanical (17%),total crashes (427),0.380952381,take off (15%)
unknown (11%),total crashes (427),0.063492063,take off (15%)
criminal (5%),total crashes (427),0.0317460317,take off (15%)
human error (48%),total crashes (427),0.2500000000,unknown (11%)
weather (18%),total crashes (427),0.2500000000,unknown (11%)
mechanical (17%),total crashes (427),0.0000000000,unknown (11%)
unknown (11%),total crashes (427),0.5000000000,unknown (11%)
criminal (5%),total crashes (427),0.0000000000,unknown (11%)
human error (48%),total crashes (427),0.558823529,landing (49%)
weather (18%),total crashes (427),0.274509804,landing (49%)
mechanical (17%),total crashes (427),0.098039216,landing (49%)
unknown (11%),total crashes (427),0.049019608,landing (49%)
criminal (5%),total crashes (427),0.019607843,landing (49%)
