action,years,strength
Sleep too much,-1.5,suggestive
Be optimistic,2,suggestive
Get promoted,3.5,suggestive
Live in a city,-2.5,suggestive
And a little red wine,5,suggestive
Be conscientious,2.5,suggestive
"Be polygamous, maybe",9.3,suggestive
Drink a little alcohol,2,suggestive
Eat less food,11.67,suggestive
Go to church regularly,7,suggestive
Hang out with women - a lot!,15,suggestive
Have more orgasms,4,suggestive
Live in the country,8,suggestive
Sit down,-3,suggestive
With close friends,5.3,suggestive
Become obese,-8.5,strong
Exercise more,2,strong
Keep smoking,-10,strong
Live at high altitude,3.6,strong
Live healthily,14,strong
Suffer severe mental illness,-25,strong
Avoid cancer,15,good
Avoid heart disease,13,good
Be a woman,5.1,good
Be alcoholic,-11,good
Be rich,10,good
Eat red meat,-1,good
Get health checks,0.14,good
Get married!,10,good
More pets,3,good
